nodenumber     x-coordinate     y-coordinate 
         1  2.000000000E-02  0.000000000E+00 
         2  4.000000000E-02  0.000000000E+00 
         3  6.000000000E-02  0.000000000E+00 
         4  8.000000000E-02  0.000000000E+00 
         5  1.000000000E-01  0.000000000E+00 
         6  1.200000000E-01  0.000000000E+00 
         7  1.400000000E-01  0.000000000E+00 
         8  1.600000000E-01  0.000000000E+00 
         9  1.800000000E-01  0.000000000E+00 
        10  2.000000000E-01  0.000000000E+00 
        11  2.200000000E-01  0.000000000E+00 
        12  2.400000000E-01  0.000000000E+00 
        13  2.600000000E-01  0.000000000E+00 
        14  2.800000000E-01  0.000000000E+00 
        15  3.000000000E-01  0.000000000E+00 
        16  3.200000000E-01  0.000000000E+00 
        17  3.400000000E-01  0.000000000E+00 
        18  3.600000000E-01  0.000000000E+00 
        19  3.800000000E-01  0.000000000E+00 
        20  4.000000000E-01  0.000000000E+00 
        21  4.200000000E-01  0.000000000E+00 
        22  4.400000000E-01  0.000000000E+00 
        23  4.600000000E-01  0.000000000E+00 
        24  4.800000000E-01  0.000000000E+00 
        25  5.000000000E-01  0.000000000E+00 
        26  5.200000000E-01  0.000000000E+00 
        27  5.400000000E-01  0.000000000E+00 
        28  5.600000000E-01  0.000000000E+00 
        29  5.800000000E-01  0.000000000E+00 
        30  6.000000000E-01  0.000000000E+00 
        31  6.200000000E-01  0.000000000E+00 
        32  6.400000000E-01  0.000000000E+00 
        33  6.600000000E-01  0.000000000E+00 
        34  6.800000000E-01  0.000000000E+00 
        35  7.000000000E-01  0.000000000E+00 
        36  7.200000000E-01  0.000000000E+00 
        37  7.400000000E-01  0.000000000E+00 
        38  7.600000000E-01  0.000000000E+00 
        39  7.800000000E-01  0.000000000E+00 
        40  8.000000000E-01  0.000000000E+00 
        41  8.200000000E-01  0.000000000E+00 
        42  8.400000000E-01  0.000000000E+00 
        43  8.600000000E-01  0.000000000E+00 
        44  8.800000000E-01  0.000000000E+00 
        45  9.000000000E-01  0.000000000E+00 
        46  9.200000000E-01  0.000000000E+00 
        47  9.400000000E-01  0.000000000E+00 
        48  9.600000000E-01  0.000000000E+00 
        49  9.800000000E-01  0.000000000E+00 
        50  1.000000000E+00  0.000000000E+00 
        51  1.019607843E+00  3.457391779E-03 
        52  1.039215686E+00  6.914783557E-03 
        53  1.058823529E+00  1.037217534E-02 
        54  1.078431373E+00  1.382956711E-02 
        55  1.098039216E+00  1.728695889E-02 
        56  1.117647059E+00  2.074435067E-02 
        57  1.156482317E-17  2.083333333E-02 
        58  1.999793729E-02  2.083333333E-02 
        59  3.999587459E-02  2.083333333E-02 
        60  5.999381188E-02  2.083333333E-02 
        61  7.999174917E-02  2.083333333E-02 
        62  9.998968647E-02  2.083333333E-02 
        63  1.199876238E-01  2.083333333E-02 
        64  1.399855611E-01  2.083333333E-02 
        65  1.599834983E-01  2.083333333E-02 
        66  1.799814356E-01  2.083333333E-02 
        67  1.999793729E-01  2.083333333E-02 
        68  2.199773102E-01  2.083333333E-02 
        69  2.399752475E-01  2.083333333E-02 
        70  2.599731848E-01  2.083333333E-02 
        71  2.799711221E-01  2.083333333E-02 
        72  2.999690594E-01  2.083333333E-02 
        73  3.199669967E-01  2.083333333E-02 
        74  3.399649340E-01  2.083333333E-02 
        75  3.599628713E-01  2.083333333E-02 
        76  3.799608086E-01  2.083333333E-02 
        77  3.999587459E-01  2.083333333E-02 
        78  4.199566832E-01  2.083333333E-02 
        79  4.399546205E-01  2.083333333E-02 
        80  4.599525578E-01  2.083333333E-02 
        81  4.799504950E-01  2.083333333E-02 
        82  4.999484323E-01  2.083333333E-02 
        83  5.199463696E-01  2.083333333E-02 
        84  5.399443069E-01  2.083333333E-02 
        85  5.599422442E-01  2.083333333E-02 
        86  5.799401815E-01  2.083333333E-02 
        87  5.999381188E-01  2.083333333E-02 
        88  6.199360561E-01  2.083333333E-02 
        89  6.399339934E-01  2.083333333E-02 
        90  6.599319307E-01  2.083333333E-02 
        91  6.799298680E-01  2.083333333E-02 
        92  6.999278053E-01  2.083333333E-02 
        93  7.199257426E-01  2.083333333E-02 
        94  7.399236799E-01  2.083333333E-02 
        95  7.599216172E-01  2.083333333E-02 
        96  7.799195545E-01  2.083333333E-02 
        97  7.999174917E-01  2.083333333E-02 
        98  8.199154290E-01  2.083333333E-02 
        99  8.399133663E-01  2.083333333E-02 
       100  8.599113036E-01  2.083333333E-02 
       101  8.799092409E-01  2.083333333E-02 
       102  8.999071782E-01  2.083333333E-02 
       103  9.199051155E-01  2.083333333E-02 
       104  9.399030528E-01  2.083333333E-02 
       105  9.599009901E-01  2.083333333E-02 
       106  9.798989274E-01  2.083333333E-02 
       107  9.998968647E-01  2.083333333E-02 
       108  1.137254902E+00  2.420174245E-02 
       109  1.019506730E+00  2.425471061E-02 
       110  1.156862745E+00  2.765913423E-02 
       111  1.039116595E+00  2.767608790E-02 
       112  1.058726461E+00  3.109746518E-02 
       113  1.176470588E+00  3.111652601E-02 
       114  1.078336326E+00  3.451884246E-02 
       115  1.196078431E+00  3.457391779E-02 
       116  1.097946192E+00  3.794021974E-02 
       117  1.215686275E+00  3.803130956E-02 
       118  1.117556057E+00  4.136159702E-02 
       119  1.235294118E+00  4.148870134E-02 
       120  2.312964635E-17  4.166666667E-02 
       121  1.999587459E-02  4.166666667E-02 
       122  3.999174917E-02  4.166666667E-02 
       123  5.998762376E-02  4.166666667E-02 
       124  7.998349835E-02  4.166666667E-02 
       125  9.997937294E-02  4.166666667E-02 
       126  1.199752475E-01  4.166666667E-02 
       127  1.399711221E-01  4.166666667E-02 
       128  1.599669967E-01  4.166666667E-02 
       129  1.799628713E-01  4.166666667E-02 
       130  1.999587459E-01  4.166666667E-02 
       131  2.199546205E-01  4.166666667E-02 
       132  2.399504950E-01  4.166666667E-02 
       133  2.599463696E-01  4.166666667E-02 
       134  2.799422442E-01  4.166666667E-02 
       135  2.999381188E-01  4.166666667E-02 
       136  3.199339934E-01  4.166666667E-02 
       137  3.399298680E-01  4.166666667E-02 
       138  3.599257426E-01  4.166666667E-02 
       139  3.799216172E-01  4.166666667E-02 
       140  3.999174917E-01  4.166666667E-02 
       141  4.199133663E-01  4.166666667E-02 
       142  4.399092409E-01  4.166666667E-02 
       143  4.599051155E-01  4.166666667E-02 
       144  4.799009901E-01  4.166666667E-02 
       145  4.998968647E-01  4.166666667E-02 
       146  5.198927393E-01  4.166666667E-02 
       147  5.398886139E-01  4.166666667E-02 
       148  5.598844884E-01  4.166666667E-02 
       149  5.798803630E-01  4.166666667E-02 
       150  5.998762376E-01  4.166666667E-02 
       151  6.198721122E-01  4.166666667E-02 
       152  6.398679868E-01  4.166666667E-02 
       153  6.598638614E-01  4.166666667E-02 
       154  6.798597360E-01  4.166666667E-02 
       155  6.998556106E-01  4.166666667E-02 
       156  7.198514851E-01  4.166666667E-02 
       157  7.398473597E-01  4.166666667E-02 
       158  7.598432343E-01  4.166666667E-02 
       159  7.798391089E-01  4.166666667E-02 
       160  7.998349835E-01  4.166666667E-02 
       161  8.198308581E-01  4.166666667E-02 
       162  8.398267327E-01  4.166666667E-02 
       163  8.598226073E-01  4.166666667E-02 
       164  8.798184818E-01  4.166666667E-02 
       165  8.998143564E-01  4.166666667E-02 
       166  9.198102310E-01  4.166666667E-02 
       167  9.398061056E-01  4.166666667E-02 
       168  9.598019802E-01  4.166666667E-02 
       169  9.797978548E-01  4.166666667E-02 
       170  9.997937294E-01  4.166666667E-02 
       171  1.137165922E+00  4.478297430E-02 
       172  1.254901961E+00  4.494609312E-02 
       173  1.019405617E+00  4.505202945E-02 
       174  1.156775788E+00  4.820435158E-02 
       175  1.274509804E+00  4.840348490E-02 
       176  1.039017505E+00  4.843739223E-02 
       177  1.176385653E+00  5.162572886E-02 
       178  1.058629392E+00  5.182275502E-02 
       179  1.294117647E+00  5.186087668E-02 
       180  1.195995519E+00  5.504710614E-02 
       181  1.078241280E+00  5.520811780E-02 
       182  1.313725490E+00  5.531826846E-02 
       183  1.215605384E+00  5.846848342E-02 
       184  1.097853168E+00  5.859348058E-02 
       185  1.333333333E+00  5.877566024E-02 
       186  1.235215249E+00  6.188986070E-02 
       187  1.117465055E+00  6.197884337E-02 
       188  1.352941176E+00  6.223305201E-02 
       189  3.469446952E-17  6.250000000E-02 
       190  1.999381188E-02  6.250000000E-02 
       191  3.998762376E-02  6.250000000E-02 
       192  5.998143564E-02  6.250000000E-02 
       193  7.997524752E-02  6.250000000E-02 
       194  9.996905941E-02  6.250000000E-02 
       195  1.199628713E-01  6.250000000E-02 
       196  1.399566832E-01  6.250000000E-02 
       197  1.599504950E-01  6.250000000E-02 
       198  1.799443069E-01  6.250000000E-02 
       199  1.999381188E-01  6.250000000E-02 
       200  2.199319307E-01  6.250000000E-02 
       201  2.399257426E-01  6.250000000E-02 
       202  2.599195545E-01  6.250000000E-02 
       203  2.799133663E-01  6.250000000E-02 
       204  2.999071782E-01  6.250000000E-02 
       205  3.199009901E-01  6.250000000E-02 
       206  3.398948020E-01  6.250000000E-02 
       207  3.598886139E-01  6.250000000E-02 
       208  3.798824257E-01  6.250000000E-02 
       209  3.998762376E-01  6.250000000E-02 
       210  4.198700495E-01  6.250000000E-02 
       211  4.398638614E-01  6.250000000E-02 
       212  4.598576733E-01  6.250000000E-02 
       213  4.798514851E-01  6.250000000E-02 
       214  4.998452970E-01  6.250000000E-02 
       215  5.198391089E-01  6.250000000E-02 
       216  5.398329208E-01  6.250000000E-02 
       217  5.598267327E-01  6.250000000E-02 
       218  5.798205446E-01  6.250000000E-02 
       219  5.998143564E-01  6.250000000E-02 
       220  6.198081683E-01  6.250000000E-02 
       221  6.398019802E-01  6.250000000E-02 
       222  6.597957921E-01  6.250000000E-02 
       223  6.797896040E-01  6.250000000E-02 
       224  6.997834158E-01  6.250000000E-02 
       225  7.197772277E-01  6.250000000E-02 
       226  7.397710396E-01  6.250000000E-02 
       227  7.597648515E-01  6.250000000E-02 
       228  7.797586634E-01  6.250000000E-02 
       229  7.997524752E-01  6.250000000E-02 
       230  8.197462871E-01  6.250000000E-02 
       231  8.397400990E-01  6.250000000E-02 
       232  8.597339109E-01  6.250000000E-02 
       233  8.797277228E-01  6.250000000E-02 
       234  8.997215347E-01  6.250000000E-02 
       235  9.197153465E-01  6.250000000E-02 
       236  9.397091584E-01  6.250000000E-02 
       237  9.597029703E-01  6.250000000E-02 
       238  9.796967822E-01  6.250000000E-02 
       239  9.996905941E-01  6.250000000E-02 
       240  1.254825115E+00  6.531123799E-02 
